stt,date,Latitude,Longitude,density,class
468,4/13/2020,41.881177,-87.6854,564,Sparse
469,4/14/2020,41.885023,-87.675556,2838,Normal
470,4/15/2020,41.890069,-87.706392,3484,Normal
471,4/16/2020,41.890846,-87.675563,2619,Normal
472,4/17/2020,41.896397,-87.647745,289,Sparse
473,4/18/2020,41.896097,-87.665698,815,Sparse
474,4/19/2020,41.902686,-87.724565,3697,Normal
475,4/20/2020,41.90103,-87.713491,284,Sparse
476,4/21/2020,41.902865,-87.703662,3000,Normal
477,4/22/2020,41.903211,-87.67591,3188,Normal
478,4/23/2020,41.899743,-87.66515,3254,Normal
479,4/24/2020,41.89675,-87.623095,1425,Normal
480,4/25/2020,41.896787,-87.620252,2934,Normal
481,4/26/2020,41.876846,-87.633902,2974,Normal
482,4/27/2020,41.924943,-87.726783,2974,Normal
483,4/28/2020,41.923102,-87.7871,11162,Crowded
484,4/29/2020,41.916857,-87.752046,7743,Normal
485,4/30/2020,41.92398,-87.765989,8888,Crowded
486,5/1/2020,41.947325,-87.648813,8888,Crowded
487,5/2/2020,41.940016,-87.646727,4277,Normal
488,5/3/2020,41.903698,-87.644273,6999,Normal
489,5/4/2020,41.663357,-87.628989,6999,Normal
490,5/5/2020,41.6779,-87.63412,202,Sparse
491,5/6/2020,41.836923,-87.721956,44,Sparse
492,5/7/2020,41.979107,-87.797633,4322,Normal
493,5/8/2020,41.874957,-87.629219,3573,Normal
494,5/9/2020,41.874597,-87.676475,4544,Normal
495,5/10/2020,41.881363,-87.714203,4544,Normal
496,5/11/2020,41.837188,-87.706989,5790,Normal
497,5/12/2020,41.959095,-87.688615,4894,Normal
498,5/13/2020,41.878543,-87.632267,4967,Normal
499,5/14/2020,41.878908,-87.644032,6937,Normal
500,5/15/2020,41.878904,-87.641098,6659,Normal
501,5/16/2020,41.878519,-87.639575,5790,Normal
502,5/17/2020,41.87909,-87.633752,441,Sparse
503,5/18/2020,41.879069,-87.630811,451,Sparse
504,5/19/2020,41.878484,-87.629312,895,Sparse
505,5/20/2020,41.875108,-87.735281,828,Sparse
506,5/21/2020,41.878056,-87.706035,690,Sparse
507,5/22/2020,41.880547,-87.642755,690,Sparse
508,5/23/2020,41.779058,-87.697351,2312,Normal
509,5/24/2020,41.786284,-87.700958,1502,Normal
510,5/25/2020,41.793556,-87.701352,1793,Normal
511,5/26/2020,41.822739,-87.696963,114,Sparse
